condition,rouge1,rouge2,rougeL
bart_chunk_cot,0.19888832820856173,0.040778858932722435,0.12303972403414698
bart_chunk_few,0.17653296231550805,0.01877475669313253,0.1029546328415595
bart_chunk_zero,0.2248834306973015,0.05158041238987507,0.14668129468531782
finetuned_bart,0.42047980871303436,0.1329884649231161,0.24757268854015177
flan_chunk_cot,0.073340265262884,0.014782114478314647,0.04813421044477349
flan_chunk_few,0.07697566669486813,0.008565757659833901,0.055098327227606034
flan_chunk_zero,0.11641936138524318,0.02121020291361422,0.07002675285722476
led_long_cot,0.2773440278511044,0.055932294913339,0.15483193321277217
led_long_few,0.27119522967640436,0.053141150088138564,0.15987004927956486
led_long_zero,0.27119522967640436,0.053141150088138564,0.15987004927956486
